0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,150,0,0,0,0,0,0,0
0,0,0,0,0,146.82,155.45,164.09,172.73,181.36,190,0,0
0,0,0,0,0,143.64,152.27,160.91,167.63,170.53,173.42,0,0
0,0,0,0,131.82,140.45,145.26,148.16,151.05,153.95,156.84,0,0
0,0,0,120,122.89,125.79,128.68,131.58,134.47,137.37,140.26,0,0
0,0,0,109.44,115,115,115,115,117.89,120.79,123.68,0,0
0,0,0,98.889,107.22,110,110,110,110,110,110,110,0
0,0,80,88.333,96.667,0,105,105,105,105,0,0,0
0,0,0,0,86.111,94.444,100,100,100,0,0,0,0
0,0,0,0,0,0,92.222,95,0,0,0,0,0
0,0,0,0,0,0,0,90,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
